file,error_percent,iou,auc
bottle\test\broken_large\000.png,32.62637555599213,0.00848535293981642,0.21688358929568483
bottle\test\broken_large\001.png,33.16454887390137,0.053775605998603856,0.32342698206463016
bottle\test\broken_large\002.png,32.71547555923462,0.014348561759729272,0.26048129860771374
bottle\test\broken_large\003.png,34.130388498306274,0.04884002642977755,0.17519939952489877
bottle\test\broken_large\004.png,32.53193795681,0.006924439041150197,0.23165840197297605
bottle\test\broken_large\005.png,32.54478871822357,0.0035800752073352907,0.23364822190236983
bottle\test\broken_large\006.png,32.91720747947693,0.008468939830621204,0.26494262859647655
bottle\test\broken_large\007.png,32.980021834373474,0.0399718724591821,0.28235901073302894
bottle\test\broken_large\008.png,32.959139347076416,0.036637880868694864,0.3006828951478978
bottle\test\broken_large\009.png,32.853296399116516,0.0017112557242709087,0.26679882526634
bottle\test\broken_large\010.png,33.12554955482483,0.007552940086186924,0.27712107866285296
bottle\test\broken_large\011.png,33.09336602687836,0.02953390658589017,0.3430131060722751
bottle\test\broken_large\012.png,32.34659731388092,0.004392570281124498,0.28374508714923885
bottle\test\broken_large\013.png,32.2170615196228,0.016597606426074676,0.25186252490346556
bottle\test\broken_large\014.png,32.473430037498474,0.005853913497974651,0.24226469235202047
bottle\test\broken_large\015.png,32.78663158416748,0.0029610014443909485,0.2384465039803734
bottle\test\broken_large\016.png,32.61715471744537,0.02696761619869921,0.2643902995797234
bottle\test\broken_large\017.png,32.675158977508545,0.008943126245245427,0.23965107403820635
bottle\test\broken_large\018.png,33.29387009143829,0.07489952502740227,0.30544075427237355
bottle\test\broken_large\019.png,32.449871301651,0.006936416184971098,0.22588912348191414
bottle\test\broken_small\000.png,32.91124701499939,0.0006224796340902325,0.22179540367909525
bottle\test\broken_small\001.png,32.55950212478638,0.001889686147778934,0.21405761740816778
bottle\test\broken_small\002.png,32.38409161567688,0.004796680050661565,0.22968256005508653
bottle\test\broken_small\003.png,32.55094885826111,0.006930864625362014,0.25242800732758897
bottle\test\broken_small\004.png,32.635971903800964,0.013865054070986897,0.31435203816771967
bottle\test\broken_small\005.png,32.77333974838257,0.005238540692235735,0.31970978224408964
bottle\test\broken_small\006.png,32.88734257221222,0.0012698076770455808,0.2682239570078132
bottle\test\broken_small\007.png,32.5421929359436,0.0013010245568385104,0.2263517345862272
bottle\test\broken_small\008.png,32.75887370109558,0.004724233360355576,0.3174229037848144
bottle\test\broken_small\009.png,32.63597786426544,0.011314801718979492,0.3140933923721774
bottle\test\broken_small\010.png,33.02171528339386,0.0038158481589771545,0.21589341686730265
bottle\test\broken_small\011.png,32.75230824947357,0.0017369925977392374,0.20569500465198348
bottle\test\broken_small\012.png,33.00761282444,0.02556242155064208,0.3172977730335719
bottle\test\broken_small\013.png,32.9545795917511,7.781899302223029e-05,0.24769542852915633
bottle\test\broken_small\014.png,32.69664943218231,0.0021591004682724392,0.2215205067080822
bottle\test\broken_small\015.png,33.194318413734436,0.011592595526684095,0.37184165238930467
bottle\test\broken_small\016.png,32.805246114730835,0.0005583769842324976,0.14997072537777953
bottle\test\broken_small\017.png,32.22700357437134,0.005898078990160681,0.22425976099472644
