file,error_percent,iou,auc
carpet\test\color\017.png,14.275361597537994,0.020069330414158,0.706713653380713
carpet\test\color\018.png,14.154022932052612,0.017945544554455444,0.7937189060286226
carpet\test\cut\000.png,14.892126619815826,0.05021111491498345,0.5518921230762054
carpet\test\cut\001.png,14.985492825508118,0.03487583118469263,0.5702074925874765
carpet\test\cut\002.png,15.113593637943268,0.031904161412358134,0.564452810494112
carpet\test\cut\003.png,15.394987165927887,0.02334490602178858,0.5097500307216666
carpet\test\cut\004.png,14.588972926139832,0.018964053212567222,0.5088918467889098
carpet\test\cut\005.png,14.979296922683716,0.017757137003141646,0.5156752637607088
carpet\test\cut\006.png,15.057200193405151,0.0314450312049928,0.5309602627809975
carpet\test\cut\007.png,15.322747826576233,0.03653025357770525,0.5742187622689203
carpet\test\cut\008.png,15.104901790618896,0.020679283118185236,0.520635609393101
carpet\test\cut\009.png,15.289905667304993,0.053956483559371646,0.528399846126075
carpet\test\cut\010.png,15.539947152137756,0.03543570314241141,0.550285735762446
carpet\test\cut\011.png,15.202198922634125,0.039535727239753356,0.5534051582024896
carpet\test\cut\012.png,15.027889609336853,0.05463326290371265,0.5553418814483697
carpet\test\cut\013.png,14.873997867107391,0.029489084466796205,0.5349661413369673
carpet\test\cut\014.png,14.130401611328125,0.036163299901115976,0.5035684670190564
carpet\test\cut\015.png,14.058545231819153,0.045005740528128585,0.5676073827726282
carpet\test\cut\016.png,13.870590925216675,0.02473103255554003,0.5213708017805596
carpet\test\hole\000.png,15.294067561626434,0.012726157620361852,0.5670187062194869
carpet\test\hole\001.png,14.823943376541138,0.0064592894781574026,0.5271886831832754
carpet\test\hole\002.png,15.06684422492981,0.017101449275362317,0.5421717661145093
carpet\test\hole\003.png,14.35629278421402,0.027134640908420587,0.5345587243250706
carpet\test\hole\004.png,14.537231624126434,0.014109633473889069,0.5475398963759025
carpet\test\hole\005.png,15.310472249984741,0.0221763795771016,0.5491493362173268
carpet\test\hole\006.png,14.30613249540329,0.03007411630558723,0.5393650918088866
carpet\test\hole\007.png,14.789539575576782,0.034707446808510636,0.5757218467242629
carpet\test\hole\008.png,13.881874084472656,0.02863076694852396,0.5351521520748249
carpet\test\hole\009.png,13.994495570659637,0.03534354918437963,0.5410209027932823
carpet\test\hole\010.png,13.938602805137634,0.012223206377325066,0.5309613057695616
carpet\test\hole\011.png,14.260199666023254,0.021626856036152355,0.5671650520867643
carpet\test\hole\012.png,14.373008906841278,0.014660368138133246,0.5399010079552604
carpet\test\hole\013.png,14.4587904214859,0.015537915892585711,0.5365644294247676
carpet\test\hole\014.png,14.69772607088089,0.017265959131949945,0.5398521918207633
carpet\test\hole\015.png,14.267081022262573,0.01308188922867822,0.5027340156868972
carpet\test\hole\016.png,14.494377374649048,0.01889400921658986,0.518729136551671
carpet\test\thread\000.png,15.5045747756958,0.001999692355022304,0.36700500969788846
carpet\test\thread\001.png,15.464672446250916,0.0,0.30502501046332214
carpet\test\thread\002.png,14.739367365837097,0.0,0.2819802406670029
carpet\test\thread\003.png,14.772629737854004,0.0,0.4222253788025998
carpet\test\thread\004.png,14.890183508396149,0.00015810276679841898,0.2899152619825396
carpet\test\thread\005.png,14.44704532623291,0.0,0.34411181772694815
carpet\test\thread\006.png,14.152416586875916,0.00047445832674363435,0.3252783666771645
carpet\test\thread\007.png,14.19830322265625,0.0001808972503617945,0.29978334623384717
carpet\test\thread\008.png,14.479929208755493,0.00617842073538276,0.44116139469778637
carpet\test\thread\009.png,14.274448156356812,0.009969481180061038,0.8223296462206459
carpet\test\thread\010.png,14.596469700336456,0.04754244861483468,0.8955485126134536
carpet\test\thread\011.png,14.974620938301086,0.024888888888888887,0.9177794405370172
carpet\test\thread\012.png,13.553959131240845,0.009713701431492843,0.49194073966914725
carpet\test\thread\013.png,14.726832509040833,0.03095558546433378,0.4759763077323448
carpet\test\thread\014.png,15.151825547218323,0.001916376306620209,0.39285431407870025
carpet\test\thread\015.png,15.069563686847687,0.03899350108315281,0.8781978284820445
carpet\test\thread\016.png,15.142819285392761,0.02621276595744681,0.8531425824063504
carpet\test\thread\017.png,14.706258475780487,0.0,0.3020284440868771
carpet\test\thread\018.png,15.01845270395279,0.010786684024549005,0.8008740177078828
